,작성자,시간,내용
1243,jhk2****,2022.10.08. 15:05,그러면 용산 대통령실앞에가서 윤석렬 제명 이라는 피컷들고1인시위 하면 그 진정성을 믿겟습니다입으로만 하지말고 제발요
1244,net2****,2022.10.08. 15:04,배신자dna는 영원한 분탕과 이간
1245,shri****,2022.10.08. 15:04,민주당은 이런배신자하고 한솥밥먹는사람 없는데.국힘은 왜이러나.일단 되든안되든 배는 바다로 나아가야지.산으로 가면 안되잔아.국힘은 이런 배신자들때문에 배가 산으로 가게생겼으니 글러먹은거지.
1246,jwan****,2022.10.08. 15:04,아직 정계에서 안 꺼지고 정치하나? 도지사 후보경선에서도 물먹은 넘이 무슨 소리?
1247,ecpr****,2022.10.08. 15:04,도찐개찐 ... 그러나 울대가리는 저 자리에 있으면 안된다
1248,yun2****,2022.10.08. 15:04,쪽팔려
1249,s4ev****,2022.10.08. 15:03,"윤통이 마이크에 기자회견하면서 말실수를 한겁니까? 개인끼리하는 얘기를 문제삼아 징계를 하라는게 말이 되나요? 뒤에서는 국회의원이 아니라 나랏 님 욕도 할수 있는거예요. 그거 다 엿듣고 징계를 해야하나요?그럼 유승민, 이준석도 윤통 욕 많이 했을것 같은데요."
1250,cjj6****,2022.10.08. 15:03,유승민 이자는 뭔소리리 지껄이냐 그만하고 이재명한테 가거라 도움 받아라 배신자야 넌 다음에 대구에서도 국개 떨어진다
1251,mhy2****,2022.10.08. 15:03,참 정치 더럽게 하네. 이런게 뭔 보수우파라고 스스로 떠드냐. 정의도 신뢰도 가치도 체면도 던져버린 미친 개같이 그냥 아무나 막 물어대는구나. 피아도 구분못하고 적전분열에 이적행위하는 3류 정치꾼아. 배신은 배신은 낳는거다
1252,yuil****,2022.10.08. 15:03,승민&준석 손잡잖아? 만약? 나 민주당서 갈아탄다...꼽사리 철수빠지고..만약 그래서 지지층 두꺼워지고 그렇게된다고치자..분명 입당 원하는얘들 있거든? 입당절대불가 명단:권성동. 정진석. 나경원. 장제원. 그외 사이드 한동훈이래야 나라가선다
1253,jlan****,2022.10.08. 15:03,새끼는 들리지도 않았다.람자가 분명히 들렸는데.설사 했다고해도 공식발언 공식석상도 아닌데 뭔상관? 넌 이재명 뒤나 이어서 만진당 당대표나 해.
1254,kwon****,2022.10.08. 15:03,우리 대한민국에 본부장을 결박할 거미줄이 있다고 생각하는가?......
1255,berg****,2022.10.08. 15:03,유승민 이×× 꺼져.
1256,myte****,2022.10.08. 15:03,갈수록 비호감 인간이다.
1257,s4ev****,2022.10.08. 15:02,대구경북것들.유승인님 잘새겨 들으레이~~^^
1258,sbch****,2022.10.08. 15:02,어른값도 못하는 사람들이 참 많은것 같다지는것이 곧 이기는 것임을 이번 기회에 좀 배웠으면 좋겠다.
1259,opiq****,2022.10.08. 15:01,유같은 인간들때문에 나라가 더 갈갈이 찢기고 잇는거다 입술을 보면 간사한 이미지
1260,hs03****,2022.10.08. 15:01,배신자 유승미니하고 반란을 일으킨 이준서기는 국힘과는 빙탄지간 이라
1261,rlad****,2022.10.08. 15:01,이준석이랑 손잡고 나가라. 내부선동질해서 당에 분란일으키는것들 필요없다.
1262,wich****,2022.10.08. 15:01,이 인간은 좌파도 아니고 우파도 아니고 기회만 넘보는 기회주의자.
1263,yma8****,2022.10.08. 15:01,"철새라는 수식어가 있지만 , 그래도 제일 정상적인 정치인 은 유승민뿐, 나머지는 공천에 눈멀어서 윤석열 오줌도 받아먹을듯 ,,, 그리고 민주당은 이탄희의원은 정말 보석같은 존재 .. 이런사람들이 정치인이지 .. 나머지는 x레기라고 부르기도 과분한 말종들 .."
1264,hm18****,2022.10.08. 15:00,미친 ×× 뭘 얘기 하고 싶은거야 참 한심하다 어떻게 하면 정치를 다시 해볼까 하는 마음이 훤히 들여다보인다. 고마해라
1265,jskl****,2022.10.08. 15:00,유승민말이 내말과 같다. 힘이 있으려면 공정한 잣대로 판단해야지 누구는 당원권 정지시키고 누구는 그냥 넘어가노? 이래서 윤리위가 정당하다고 대체 누가 생각하긋노
1266,baeh****,2022.10.08. 17:33,유승민이 또 배신유전자가 꿈틀거리는모양일세
1267,dong****,2022.10.08. 14:59,이분은 아직 정계은퇴 안했나
1268,baeh****,2022.10.08. 14:59,"유승민의원님 대한민국 국민의 대변인 이시네요. 대통령이 절대권력으로 군림할때 민주주의는 다시 바닥으로 내동댕이쳐질겁니다. 지켜주세요. 윤석열 대통령님 같은 당원욕할 문자보내는 시간에 외교메뉴얼 책자나 읽어보시고, 대통령참석 행사 안내 책자나 읽고 가시길 글자를 못 읽는 사람도 아니고 대통령 자격은 갖추시길바랍니다. 고등학생 만평그림에 치졸하게 분개마시고 본인의 인품과 인격을 가쭈시길 바랍니다."
1269,chj1****,2022.10.08. 14:59,유승민을 차기 대통령으로
1270,wjk5****,2022.10.08. 14:58,유승민는 가라! 민주당으로... 이런놈들이 국힘에 있으니 국민의 정당 국민의 힘이 욕을듣지. 어여가라! 빨리가라! 주 차삐기 전에!!!!
1271,kevi****,2022.10.08. 14:58,유승민 영원한 배신자 정계 은퇴해라 소리 그만하고
1272,shk7****,2022.10.08. 14:58,유승민 의원 말좀들어라 국짐당 암덩어리 들아 느그 정부가 자초한 개판짓이나까 나라가 이꼴이다
1273,golf****,2022.10.08. 14:58,대한민국에 그 체중을 감당할 거미줄이 있는가?
1274,ocu5****,2022.10.08. 14:58,아제요~~예전에 그래도 괜찮게 생각했는데….우짜다가 이렇게까지….더 이상 실망시키지마소
1275,ksgo****,2022.10.08. 14:57,분탕질 그만!!! 당신이은 이준석이랑 같은 민주당 2중대..도대체 뭘 꼬투리 잡혔길래..나라 발전에 기여해라 제발
1276,funk****,2022.10.08. 14:57,해당행위를 하는 너를 징계해야한다.
1277,suha****,2022.10.08. 14:57,윤서겨리가 당원 이었나? 같은 인간 이었다는 말인가? 하늘이 내린 사람 이라는 소문의 있던데...청공 스님이 키웠고... 그러니 징계가 되겠냐?
1278,zx45****,2022.10.08. 17:27,유승민 니가욕한것 들었나 보기를했나 니쁜눔아 저런게 국짐당 국회의원이라고 세금아깝다 민주당으로가라 꼴통아 넌끝장이야
