,작성자,시간,내용
351,ptjs****,2022.10.08. 19:07,"맞는 말만 하면 내부총질로 몰아부치는 극우 꼰대들이 과거 무조건 맞다고 우기던 조국,추미애,윤미향 지지자들과 뭐가 다르냐? 정권만 바뀐거지 하는 행태는 서로 적폐라고 우기는 우파, 좌파 똑같네... 똑같이 어거지 부리면서 서로 깨끗한 척은..."
352,1010****,2022.10.08. 19:07,바이던은 욕 먹을 만 하죠. 더 찰지게 욕하는법을 *재멍에게 배우는것도 나쁘지 않은듯.
353,elbi****,2022.10.08. 19:06,배신자의 말과 행동은 여당안에서 내부 총질과 여당을 깨려는 비판만 있는 내부 세작의 임무를 충실히 하고 있는것 같다 촉출 하라
354,jock****,2022.10.08. 19:04,할말은 할줄아는 유승민 이런것이 보수의 참모습 아니냐? 구김당 아
355,uria****,2022.10.08. 19:04,눈이 가느다랗게 찢어지고 눈웃음치는 유승민 나쁜sggi 정치도못하는자가 빌붙어서 뭐하는짓거리냐 니딸하고 유치원서 놀거라
356,lee0****,2022.10.08. 19:04,여기 그당사람들 집합소네ㅋㅋㅋ 수준이 딱 그수준ㅋ
357,hhjs****,2022.10.08. 19:04,꼬라지 하고는
358,poly****,2022.10.08. 19:03,"윤돼지 사기꾼 부부 국제 사기꾼으르 외신 보도 터지고 있다~!! 쪽 팔려서 ~ ㅜㅜ, 외국 언론들~ 한국 대통령 부부 국민들이 사기꾼 취급~!! 알고 보니 국제 사기꾼~!! ㅠㅠ 우리나라 망 한다~!!"
359,hyun****,2022.10.08. 19:01,"유승민씨 답답하다. 그동네가 상식적으로 돌아 가는게 하나라도 있어서 그런말 하시나, 진흙탕에서 깨끗한척 하지말고 깨끗한 밖에서도 깨끗 하다는걸 보여라"
360,sain****,2022.10.08. 18:59,유승민 이사람은 대통령을 대통령이라 하지도 않네 당원 이러케 말하고 나쁜놈이네
361,qkrr****,2022.10.08. 18:59,참 가지가지 한다 정신좀 채기시요 말이가 글이가
362,esdi****,2022.10.08. 18:57,바이든! 바이! 바이! 바이! 바이! 바이든!
363,baek****,2022.10.08. 18:57,그래서 불만이냐? 정신 나간 자식..넌 사람되긴 글렀다
364,sjw5****,2022.10.08. 18:56,한때 좋아하던 유승민의원님언론을보면 남 지적만하시면서계획적보수라 말씀하시는게 맞는건가요?미래를위해 국민을위해 박근혜탄핵이후 대체 무얼하셨나요?이런일에 그만 나서시고 진정 본인만의 색깔을 보여주시길
365,ldon****,2022.10.08. 18:56,유승민씨!당신은 첩자인가 뭐인가 유승민이 대통령후보로 나올때 기가막혔다
366,7744****,2022.10.09. 07:15,곧탄핵 오늘 엄청 모엿다 곧 끌어내린다 낼나도동참한다 윤 건 권 김 각오해라
367,b449****,2022.10.08. 18:55,"윤돼지 국제 사기꾼놈, 기자들도 없이 일본 총리 만나서 얼마에 한국 살거냐~?!! 내 임기 끝나기전에 흥정하자~!? 기시다 가 시간을 달라고~?!?! 일단 독도 부터 일본 자위대가 훈련겸 접수 한다~!! 나중에 은밀히 쥴리 보내라~!! ㅠㅠㅠ"
368,ssso****,2022.10.08. 18:55,솔직히 이양희가 착해보이지 않는다 표정이 안착하다
369,xjap****,2022.10.08. 18:53,유승민은 국힘당을위해 탈당하고 더불당입당해서 빨리 배신때려라 유승민은 더불당가서 뒤통수때리고 다시 국힘당 입당해라
370,mila****,2022.10.08. 18:53,유승민은 끝까지 배신의 정치하나?
371,itsi****,2022.10.08. 18:52,아무리봐도 윤석열보다 유승민이 백번천번 낫다.어쩌다 저런게 대통령이 되었나
372,bmgb****,2022.10.08. 18:52,이 물건도 징계해라 더러운 색 이다
373,minh****,2022.10.08. 18:50,왜 안하냐고? 혼잣말이니까. 상대방에게 대놓고 한 말이 아니잖아. 아무리 싫어도 주장엔 객관성이 있어야지.
374,jeaw****,2022.10.08. 18:49,가처분은 정말 잘못한거다 윤석열님도 가처분 했다
375,tk51****,2022.10.08. 18:49,유촉새가 둘이네..
376,bsun****,2022.10.08. 18:49,유승민 !! 조금만 더 수위를 높여 봐. 깔끔하게 징계해 줄게 !!!
377,wodo****,2022.10.08. 18:48,하나 나가니깐 또 하나 나타나네.
378,luck****,2022.10.08. 18:48,왜 또 탄핵시키고 싶어 근질근질 한가봐??
379,yrol****,2022.10.08. 18:47,물에 빠져 죽는 놈 구해줬더니 보따리 내놓으라는 놈이 유승민이군. 닥치시게.
380,mini****,2022.10.08. 18:47,또 탄핵주도해라 그래서 정권 또 넘겨주고 향후100년은 보수 괴멸되게 한번으로 부족했나보네 gsgg
381,bdfl****,2022.10.09. 12:28,틀닥특) 지가 헛소리할때 팩트이야기하면 발작함
382,naza****,2022.10.08. 18:46,유승민이 보수의 마지막 희망이다.
383,rlax****,2022.10.08. 18:45,유승민 배신자 맞네
384,shk3****,2022.10.08. 18:45,유승민 응원합니다
385,kweo****,2022.10.08. 18:43,알만하신분이 선동을하니 참 웃겨요 개인적으로 말하는것과 공인으로 대면해서 말하는 차이를 구별 해야죠 선동하지 마시고 나가세요
386,hjo4****,2022.10.08. 18:42,유승민이는 암
387,keea****,2022.10.08. 18:42,배신자여~~~배신자여
388,jang****,2022.10.08. 18:42,실망....내부 분열 만드는 사람
389,kyun****,2022.10.08. 18:41,대통령 징계해서 탈당시켜? 누구 좋으라고참 답답하고 뺀뻔하고 양심없는 분이네그것이 징계 사유여 해당행위고?그렇다면 당신의 과거행적부터 현재까지 보수를되살리기위한 노력은? 당신이 보수 진영에가한 해악은 엄청나요 ㆍ회복 하고자노력도 안보이고요
390,syjh****,2022.10.09. 10:10,6070대 보수 대학생들이 발악하는거 보면 유승민이 팩트 폭행한듯ㅋㅋㅋ
391,no1h****,2022.10.08. 18:40,그러게세계가 비웃는데ㅋ처리해라
392,nntn****,2022.10.08. 18:40,말으루했고 국민도 말 들었는데 정작 본인 뭔 말 한지도 기억않난다. 모르겠다라고만 막말에 거짓말까지 하는 대통령을 탄핵까진 아니라도 탈당을 시켜야 하는 거 아닌지. 막말하면 징계고 한 말을 진짜 모르고 기억나지 않는데 국민은 들었으면 적어도 기억못하는 무능인데. 그런 대통령을 누가 국민의 머슴이라도 쓰것냐.
393,sook****,2022.10.08. 18:39,야 유가넘아 .소리전문가 들이.아니라고 했잖아 쨔샤..어디서 헛소리냐 더듬어 간첩 좌익유가넘을 빨리 쳐단시켜라 대구에 오면 바로 쫓아내버리자..
394,cjho****,2022.10.08. 18:39,이 인간은 맨날 민주당이 하는 말만 듣고 지들편을 물어뜯네... 박근혜대통령 말은 믿지도 않고 민주당 말만듣고 탄핵 배신때려놓고 그버릇 어디 안가네... 한번 배신자는 영원한 배신자라는게 유승민을 두고하는 말이구만~ 제발 좀 나오지마라 진짜 볼때마다 소름돋는다
395,ktgy****,2022.10.08. 18:38,배신의 아이콘!!
396,jack****,2022.10.08. 18:37,유승민 너한테 당대표 시켜주었나 적당히해라 이준석이가 하는짓이 개망나니 아니더나 너놈하고 하태경 허은아 천아름 꼬마 김용태 하루 빨리 꺼져라
397,kjss****,2022.10.08. 18:37,개혁보순지 개같은보순지 헷갈리네
398,kweo****,2022.10.08. 18:37,참 그렇게 사는 사람도 흔치는 안씁니다 우째 이준석과 찰떡세트냐? 같은 집안에서도 내편 네편을 가르면 속이 시원하냐? 박근혜 근성이냐?
399,doke****,2022.10.08. 18:36,유승민 너놈하고 준석이하고는 더불당스렵다
400,toda****,2022.10.08. 18:36,이분은 여당인가요?야당인가요?자기당 대통령을 꾸준히 싫어하는데 싫어하면 대통령 되나요?
401,awes****,2022.10.08. 18:36,국회의장도 탈당하는데 모양새가 대통령도 탈당해야지.
402,ayhl****,2022.10.08. 18:35,개세 미틴....
403,gira****,2022.10.08. 18:33,어디있다 튀어나왔냐? 조용히 못있고 입터는건 이준석이랑 한패거리 증명.. 너보구 배웠지? 나이값좀 해라
404,lkj6****,2022.10.09. 08:10,대구 동구 출마 하기만 해 봐라~~ gsgg
405,115s****,2022.10.08. 22:56,탈당하세요 그냥..
406,ykl9****,2022.10.08. 18:33,전직대통령을탄핵의족쇄를채우는데앞장서서진두지휘해성공하드니.맛들렸나?이졘.자당!당원이신현직!대통령!을흔들어되니!그저의가뭔지!또!탄핵할런가!
407,kba3****,2022.10.08. 18:31,솔직히 박대통령 탄핵의 주범들은 정치할 생각 접어라. 태경 무성 승민 성동 그리고 뒷짐 지고 있었던 놈들
408,pesl****,2022.10.08. 18:30,사석과 공식석상의 차이 아님? 이준석이 비읍시옷 했을 땐 사석이라 징계 안했잖냐.
409,win2****,2022.10.08. 18:30,탄핵동조하고 튀어나가서 건진거 하나없이 기어들어와서 다시는 나가지 않을거라는 거 안다~~그냥 평생 멍멍 짖으면서 피해자코스프레나 해라
410,ccca****,2022.10.08. 18:30,배신자는 제명시켜라 배신자는 계속 배신만 하네
411,hanb****,2022.10.08. 18:30,ㅇㅈ 맞는 말!!!!? 유승민이 하는 말은 항상 옳다저런 정치인 없어요~유숭민이 대통령인 나라에서 살고싶다
412,gbg2****,2022.10.08. 18:29,기회승민
413,lsi0****,2022.10.08. 18:28,이번에도 민주당과 짜고 탄핵 앞장?
414,ksdu****,2022.10.08. 18:28,준석이 델고 나가...진짜 못봐주겠네. 당신이 왜 대통령 후보 조차도 안되는지...
415,sola****,2022.10.08. 18:27,유승민 대굴박에 꼭 총알을...
416,0465****,2022.10.08. 18:27,밴뎅아 탄핵 하자고 선동해
417,ping****,2022.10.08. 18:26,G. R 도 풍년이다. 자막뻥 니 아이디어냐??? 계속 이 ㅇ ㅇ 타령이네. 이 ㅇ ㅇ가.
418,kwgr****,2022.10.08. 18:26,넌 박근혜 탄핵 동조 했잖아
419,zero****,2022.10.08. 18:35,굯회의원보고 새 ㄱㄱ라고 하는 놈이 국민도 이 새ㄱㄱ 저 새ㄱ기 하겠네 아~~ 개 새 ㄱㄱ 같은 대통령 같으니
420,pesl****,2022.10.08. 18:26,헌법 제27조는 법원에 가서 이야기하고 정치에서는 당헌이 먼저다
421,leeh****,2022.10.08. 18:24,탄핵 주동자로서 찬성표를 던진 자들은 왜 징계를 안하나?
422,hanb****,2022.10.08. 18:23,미친 정신 ㅇㄱ상자들 많타
423,ca33****,2022.10.08. 18:22,유 승민gsgg야? 대통이 이ㅇㅇ든 저ㅇㅇ든 니가 신경 안써도돼 이자슥아?너같은 배신자가 설곳은 박 근혜 대통령에 만배 사죄하고 자결뿐이다 이게어디서 숟가락얺질려고.. 정치에서 완전히 손때고.. 알것재...
424,nsk6****,2022.10.08. 18:21,승민아 니가 직접들었냐?어디서 민주당식 선동질이야.배신정치의 말로가 뭔지 알게 될거다.
425,igdr****,2022.10.08. 18:21,유승민은 언제쯤 조용해질까
426,bow_****,2022.10.08. 18:21,지가 한말도 기억못하고 말도 몇번을 바꾸는 사람이냐?
427,ytpa****,2022.10.09. 07:51,초등학교 학교 1학년도 니편 내편은 알거늘 그리 못마땅 하면 준석이와 유승민은 당장 니가 좋아하는곳으로 떠나라 지금 뭉쳐도 힘든판에 머하는짓이냐
428,akh6****,2022.10.08. 18:20,승민아 너의 정치가 왜 매번 실패인줄 아니? 준석이하고 니 그릇이 개 밥그릇 밖에 안되서 그래. 결국 인간은 끼리 끼리구나
429,chdo****,2022.10.08. 18:20,지버릇 개 못주네 ~!!!
430,ca33****,2022.10.08. 18:19,배신의당 당대표해라준석이데리고
431,opai****,2022.10.08. 18:18,그만 떠나라. 오라는데데도 없겠지만.
432,mshi****,2022.10.08. 18:18,허경영 지지율 부터 이기고 와라
433,smo6****,2022.10.08. 18:17,이게 말이여 막걸리여유승민 너만 없으면 돼나가 썩
434,dubu****,2022.10.08. 18:17,개고기 판 이준석은 제발로 걸어나가는게 옳다..
435,als8****,2022.10.08. 18:38,부끄러움을 모르는 사람 5년동안 가만히 있다가 윤석열 대통령으로 인해 나라 바로세우고 있는데 또 분탕질 하냐?
436,best****,2022.10.08. 18:16,원조 내부 총잘러
437,jsc1****,2022.10.08. 18:16,떠나서 새로운 당 창당하세요. 끝까지 비열하네 ㅠㅠ 준서기랑 같이 만드세요
438,serv****,2022.10.08. 18:16,"사람잡는 인간백정들인 검사출신들의 욕지거리가 언론에 자주 오르내린다. 엊그제는 권성동이가 '나 같으면 혀 깨물고 죽지' 하는 모욕적인 언사로 윤석열의 이 00끼들과 쪽 팔려서..에 바톤을 이어받는데, 문제는 자기들이 왜 비난받는지 인식을 못한다 그걸 욕으로 듣는 국민들 보고 적반하장식으로 '선택적 환청'이라 한다. 그런 잡배들을 지지하고 대통령으로 뽑은것들은 더 가관이다. 자기 상전들 잘못을 지적하면 개떼처럼 다 기어나와 욕질로 도배한다 인간쓰레기들이 이렇게 똘똘뭉친적이 없었던것 같다."
439,nadi****,2022.10.08. 18:16,유승민 하는짖과 생김새가 똑같이비호감
440,sn80****,2022.10.08. 18:16,박근혜 씹고 지명도 높이더니 되더니 이젠 윤석열 머리끄덩이 잡으려하네.
441,ajag****,2022.10.08. 18:14,윤석렬이 잘하지는 못하지만 그래도 이재명이 되는것보다 낳으니까 된거아냐 그러니 넌좀 가만히 있어 이재명 꼬봉할거면 나가서 하고
442,yoow****,2022.10.08. 18:14,"영국에 가서 무슨 욕을 했다고, 난리부르스여, 만약에 욕을 했다해도 감싸줘야 하는거 아닌가~ 유승민촉새 배신자는 조용히 꺼져있어라, 한번 배신한자는 또 배신한다. 지금 하는 꼬라지도 배신이나 다를바 없지"
443,ssan****,2022.10.08. 18:13,똘만이 살리려고 욕 본다
444,park****,2022.10.08. 18:13,국민의힘은 당원투표 90%로 하고 국민여론 투표10%로 해라 그래야 민주당 이나 이재명 지지자 역선택 방지하자 이준석이나 유승민 역선택 바라고 내부총질 하는것 봐라
445,bkki****,2022.10.08. 18:12,틀린말 하나도 없음. 윤석열이나 권성동이는 실제로 보수가 아님. 그냥 보수편에 얼쩡거리다 얻어 걸린 놈들임
446,952p****,2022.10.08. 18:11,윤석열이 국민의힘을 욕했나? 욕도 안 했지만 MBC버전에는 (미국)국회이다. 자당 대통령을 개고기 절대자 신군부라고 칭하고 조롱하는 것도 모자라 국민의힘을 불태워버린다고 했던 똥개 이준떡과는 다른다. 배신자여! 이제 그만 국민의힘을 떠나라. 혐오의 정치는 나가서 실껏 해라.
447,junb****,2022.10.08. 18:11,윤석열 대통령이 욕을 했다한들자기가 속해있는 당 내부를 향해 총질 한것은 아니지.그렇게 당이 못마땅하면나가서 창당을 하던지 마음에 맞는 당으로떠나면 되지 않겠나요.?
448,jheu****,2022.10.08. 18:10,2정도로는 않대요 10정도 되야
449,stoc****,2022.10.08. 18:09,승민아 이건 네가 너무 심한 표현 같다. 네가 정계를 떠나던지 민주당으로 가서 네 마음대로 씨부려라. 더이상 비열하게 살지 말아라
450,7000****,2022.10.08. 18:09,저질 정치인 유승민은 찌그러져있어라
451,eoxh****,2022.10.08. 18:09,유승민 차기 당대표 감이다
452,yhr1****,2022.10.08. 18:08,윤석열 징계하라. 탄핵하자
453,june****,2022.10.08. 18:08,유승민 정치 그만해라~~^-^
454,kcy0****,2022.10.08. 18:07,그걸 몰라서 물으면 정치센스 빵점이고 알면서도 물으면 내부총질임. 내가 보기에는 후자같아 보임. 이제 그만 욕심을 버리고 대구로 가서 농사지으시면 딱일것임.
455,gny3****,2022.10.08. 18:07,유승민씨 사적으로 지나가는 일하고 대놓고 언론에다 욕하는거하고 구분 안갑니까
456,june****,2022.10.08. 18:06,여기 댓글부대때문에 진정한 보수가 사라지구있다..
457,mail****,2022.10.08. 18:06,그놈의 배신자프레임 ㅋㅋㅋ 벅근혜 감방넣은 윤석열은? 탄핵소추위원장 권성동은? 탄핵찬성 장제원 나경원 홍준표는? 배신자 아니냐? ㅋㅋㅋㅋㅋ
458,stoc****,2022.10.08. 18:05,박근혜정부가 다시 재연하면 그때도 박근혜정부 탄핵을 하겠느냐 물으니 또 탄핵을 하겠다는 유승민~~~ 당신이 진정으로 정의파라면 문재앙이가 더 국가와 국민에게 엄청난재앙을 끼쳤는데 왜 탄핵을 안하고 가만히 있었냐?~~~ 너는 그냥 배신자 그 자체다~~~
459,bore****,2022.10.08. 18:05,ㅋㅋㅋ 준서기가 니 대통령 만들어 준단다 ㅋㅋㅋㅋ 둘이서 잘해봐라 ㅋㅋㅋㅋㅋ
460,kjr9****,2022.10.08. 18:05,관상은 과학이다 진정한 배신자 내시 상
461,ms00****,2022.10.08. 18:05,윤석열 한 1년차에 레임덕 오겠구만 정치 초보가 뭔 적들을 이렇게 많이 만드냐????검사때 공정 수사로 대통령 됐으면 좀 적당히 해라그러다 사건 터지면 진짜 촛불들고 일어난다
462,june****,2022.10.08. 18:05,ㅋ..유승민~ 꼴갑도 가지가지하네 ㅋㅋ
463,ryun****,2022.10.08. 18:04,아주 상식적인 사고를 하는 사람이 그래도 한 명 정도는 있네.
464,whdg****,2022.10.08. 18:04,준석 승민 눈물겹다 신당차려서 나갈 밑밥뿌리는중이네 배신의 대명사들
465,kbj9****,2022.10.08. 18:04,생긴게 재수없는 넘
466,anti****,2022.10.08. 18:03,얌마 ~~ 한.미.일 군사훈련이 극친일 이라고 씨부리는 죄명이 한테나 쓴소리 좀 해라~~ 아군 뒤통수에 칼 쑤시지 말고~
467,seri****,2022.10.08. 18:03,배신자 또 나오셨네. 할줄 아는건 내부총질 말고는 없니?언제 민주당 제대로 비판한적 있냐구? 하여간 바른정당인지 뭔지에서 온 인간들은 민주당으로 가면 될걸 허구허날 내부총질만 하고있네
468,hgin****,2022.10.08. 18:02,"유승민 의원은 이미 끝났어. 아무도 그의 말을 귀담아듣지 않는다. 이준석이도 이제 마찬가지야. 지겨운 존재가 되어가는 중. 당이 망해야 뜨는 존재라면, 그럴 거면 대체 왜 국힘에 있는가? 라는 물음에 준석이고 유승민이고 답을 못할걸? 왜냐면... 딴 살림 차려서 살아남을 능력이 없으니까. 그게 팩트야. 그나마 구질구질하고 지저분한 정치생명이라도 놓치기 싫으니까."
469,herb****,2022.10.08. 18:02,그게 똑 같은 겨우냐 ㅡ 코메디하냐 ㅡ
470,jenn****,2022.10.08. 18:02,배신이 온 몸에 배어있는 너부터 해야지.
471,9753****,2022.10.08. 18:02,저 인간은 왜 계속 국민의힘에 있지~~!!싫다고 나가놓구 다시 기어드와서 또 지ral을하네~~!!이준석이랑 쿵짝해서 또 자리한번 차지할라고 또 기어나오는거 봐라~~!!!!!!!!
472,san5****,2022.10.08. 18:01,대구출신이 대구가면 쳐맞을까 여기저기 눈치보며 다녀야하는 유승새...ㅜㅜ 니한테 더러운 정치를 배운 자칭청년 떡돌이... 걍 더듬당가서 광주로 국회의원도 되보고 당대표도 되보고...다해!!! 우파쪽에서 니들 자리는 없는듯 햐...개혁보수?? ㅋㅋ 놀구있네...
473,goun****,2022.10.08. 18:01,진정한 보수다!
474,kbj9****,2022.10.08. 18:01,유승민 역시 최고다~
475,loan****,2022.10.08. 18:01,대통령은 당원아니냐? 말실수하면 처벌해야지 윤리위야.
476,jk96****,2022.10.08. 18:00,너도 언행에 신중치 않은것을 보니 조만간 징계될듯..
477,hyon****,2022.10.08. 18:00,이준석 유승민 이런애들이 있어서 문가집권이 가능했지. 둘다 떨궈야함.
478,77cl****,2022.10.08. 18:00,유승민 김무성 씨ᆢ 인생을 살만큼 살아서 이제 머잖아 노년에 들어 삶을 돌이켜보고 정리할 때도 있을텐데~ 그때 ᆢ내가 왜 이렇게 살았나 하는 그 문제는 어떻게 생각하실건가요? ㅡ 이런 질문에 조차 상식에서 벗어난 엉뚱한 말을 한다면ᆢ 그러면 그만 얘기합시다 사람의 영역을 벗어난~ 다른 카테고리로 분류해야 할테니~
479,juns****,2022.10.08. 17:59,당의 핵심가치가 헌법과 법률위에 군림하는 절대권력 국민의힘 이어서 그렇습니다. 그날이오면 더이상 국민여론 눈치 안봐도 되겠지요
480,ross****,2022.10.08. 17:59,진정한 보수는 유승민?..
481,yky2****,2022.10.08. 17:59,대놓고 욕 안하는것이 다해인줄알아야 한다 대선때 얼마나 속썩힌 인간인가 애들도 아니고 당대표라는 것이 내부총질이나 하구 불만이 있으면 선거 끝나고 얘기 해야지 민주당엔 쓴소리 한번 못하구 민주당 당원인지 국힘대표인지 모를인가 정치판에 나오지 마라 유승민과함께
482,lims****,2022.10.08. 17:59,배신자 본색이 발현했나? 한번 배신한 자는 기회가 되면 또 한다. 바른정당계는 국힘에서 퇴출이 답이다
483,sjet****,2022.10.08. 17:58,너는 왜 계속 여기 있나?
484,jmle****,2022.10.08. 17:57,"배신자 , 대통령 마다 내부 총질하네 , 즌석이 데리고 지구를 떠라 , 너 같은 건 없는게 도와주는거다"
485,okki****,2022.10.08. 17:56,승민아 승민아 쫌ᆢ
486,juil****,2022.10.08. 17:56,얍삽한놈 싫으면 나가라..다 싫탄다 너가....외부의적에겐 관대하고...그러니 너의편이 아무데도 없는겨...아참..몇놈 제외하고
487,ds66****,2022.10.08. 17:56,지금 북한이 미사일 쏘고 야당대표는 한미일훈련 쌩트집잡고 나라가 개판인데 당신은 내부총질이나 할때인가..국방위원했던 사람이 할말은 안하고 정신나간소리나 하고 자빠졌고..
488,dhlb****,2022.10.08. 17:56,아이고 배신자가 대선불복하더니 양아들 징계먹으니 그 잉간도 아덜이라고 편들고 도긴개긴끼리 웃기고 잇네 쪽팔린다를 누구한테 했는데? 당에 무슨 해를 끼쳤는데? 자식새퀴 교육 똑바로 못시킨 부모가 남해코지나 하고 둘이 똑같다
489,yun2****,2022.10.08. 17:55,승민아 넌 끝났어
490,hans****,2022.10.08. 17:54,영남 + 70대 가 나라를 말아먹는다.
491,jojh****,2022.10.08. 18:30,이 사람은 아예 제명해 부러라ㅉㅉ 에구 관종아!
492,ow55****,2022.10.09. 08:59,귀신은 어디서 뭐하냐?저런 쓰래기 안잡아가고?
493,mykk****,2022.10.08. 17:53,그냥 국힘당에서 나가세요 어지럽히지말고
494,ranr****,2022.10.08. 17:53,구구절절 옳은소리네요 훌륭합니다
495,dutd****,2022.10.08. 17:52,이색은 좀 퇴출시키자 베베 꼬인인간 발전이 없다 꼰대중에 꼰대
496,jota****,2022.10.08. 17:52,완죤 배신자 ㅋ ㅋ 우찌아직도 정치판에서기웃거리나요 유승민 아웃 ㅋ
497,band****,2022.10.08. 17:52,배신자
498,baek****,2022.10.08. 17:52,조용하라 체신머리 없게 쯔 철들어라
499,sang****,2022.10.08. 17:51,유승민 막장 드라마 쓰며 자멸하지 말고 자중해라
500,ceo2****,2022.10.08. 17:51,"박근혜 대통령 때도 거짓으로 국민선동 하더니, 이번에도 또 시작이네,,근데 어쩌냐, 이번에는 국민들이 안속으니,,"
501,hong****,2022.10.08. 17:51,이 “엑스엑스”라 해서 법망 피하지 말고 대통령이 했다는 “그 욕” 그대로 해라.
502,yim2****,2022.10.08. 17:50,간신
503,yoow****,2022.10.08. 17:50,개판은 윤무식과 똘마니들이지..
504,trap****,2022.10.08. 17:49,박근혜를 배신해서 탄핵시키는데 일등공신 짓 하더니 그런다고 니가 뭐 될줄아니? 민주당 좌파 지지자들이 지지해주니까 뭐라도 된줄 아는가본데너는 그냥 우파에서는 배신자고 좌파에서는 내부 첩자로 볼뿐이다
505,kyoc****,2022.10.08. 17:49,당연히 안하지 국찢당은 지금 윤재앙 윤핵관 윤호소인 신윤해관까지 윤시리즈 소굴인데 누가 말하겠노 맞는말만 한다는 얍샵한 기회주의자 홍발정 영감탱이도 윤삭열이 눈치보면 직언도 못하는데 그나마 바른말하는 유승민이 너가국짐당에서 젤 낯네 다시봤다 유승민이
506,jmh4****,2022.10.08. 17:49,"국힘당보배다,이런분이진짜정치인이다,소신발언지지합니다,이xx한테할말하는유일한정치인,대표되어서준석이정지된것다시윤리위에서심의해주세요,지지합니다,보기싫은놈들,권성동,김기현,안철수,장제원,및윤핵관 놈들윤리위에회부해주세요"
507,jjjj****,2022.10.08. 17:49,백번 맞는말이다 당대표나와서 다갈아엎어라
508,clea****,2022.10.08. 17:49,지난번에도 당을 개판치더니 지금국민의힘 당도 깽판놓고있네 그렇게 싫은당 왜있어요 유승민 이준석이 국민의힘 당이 자기들 마음대로 안되니까 깽판치는것 아닙니까 속이 다보여요 아주나쁜인간들이다
509,phl2****,2022.10.08. 17:49,등에 칼 꽂는 프로 유승민x x 니가 할말은 아닌거 같다. 자고로 은혜를 입었으면 니가 정말 사람xx였으면 박근혜 탄핵때 너라도 항명을 했어야지...했지 민주닥 쁘락치 xx야! 그냥 민주당으로 입당해라!
510,jsoh****,2022.10.08. 17:49,유치 짬뽕 ᆢ유
511,khig****,2022.10.08. 17:49,저 빨갱이 유승민 ~ 더불면죽는빨갱이강간당으로 배설시키자~ 쟤는 즈짝이 딱인디.....홍어천국 ㅋhttps://m.dcinside.com/board/ljm?recommend=&headid=10
512,kpho****,2022.10.08. 17:48,"어떤그룹이든지, 권력형 배신자는 존재한다, 유아독존이란 무시무시한 생각은 인생을 망친다, 유승민, 그리고 이준석, 등등은 니들이 했던것 처럼, 분리독립해라."
513,sedd****,2022.10.08. 17:48,국힘은 당윤리위원회를 해체해라 윤리위원장이 박근혜대통령 탄핵때 헌법재판관 그 여자랑 똑갇다 그리고 윤통도 징계를 해라 완전 소상공인과 자영업자만 생각하는게 문재인과 똑같다 일반 국민들부터 챙겨라 총선때 엄벌을 받을 것이다
514,sjbe****,2022.10.08. 17:48,잘한다 유승민ᆢ살아있네 유승민ᆢ이게 진짜 보수다ᆢ찌질이를 빨아서 나라꼴을 이지경으로 만든 2찍들아 보고있냐?
515,hong****,2022.10.08. 17:49,뇌 mri 찍어보셔요
516,swl5****,2022.10.08. 17:47,ㅋㅋ 이 뻔뻔한 작자는 부끄러움이라고는 1도 없냐
517,ppm6****,2022.10.08. 17:47,얍샵한 배신자 유씨 역선택으로 당대표 되고싶어 애쓴다 당심 잃은 유씨가 가능할까????
518,alsd****,2022.10.08. 17:47,간자들 ㅎㅎㅎㅎㅎ
519,yus0****,2022.10.08. 17:46,유승민 잘한다 굥석열 징계해라
520,kunj****,2022.10.08. 17:46,"절이 싫으면 중이 떠난다는 말이 있다,,,,,빨리 떠나라"
521,csm5****,2022.10.08. 17:46,징계받고 탈당하려고 일부러 권력과 싸우나.아무튼 준석이는 싫어도 유승민은 좋다.
522,imjs****,2022.10.08. 17:46,너 나 잘 하랑께~~~
523,then****,2022.10.08. 17:46,준석이 델고 사라져라 제발 꼴 보기싫다
524,j-go****,2022.10.08. 17:46,가스라이팅할놈이 없어져서 나왔니
525,desi****,2022.10.08. 17:46,윤석열을 징계하라
526,yunj****,2022.10.08. 17:46,한때 지지 했으나 지금은 소인배로만 보인다~ 절이 싫으면존석 델고 나가라~
527,hack****,2022.10.08. 17:46,권력에 굽실대며 아갈 꼬맨 인간들보다는 훨씬 낫다.
528,kim0****,2022.10.08. 17:46,뒤에서 이준석 조종하다가 징계먹으니 본색 드러내네
529,patr****,2022.10.08. 17:45,애는 왜 자꾸 나오지 그리고 자꾸 양비론를 들먹이지 참
530,osmc****,2022.10.08. 17:45,"준서가 승미나 조용히 하고 좀 물러가라, 적과 동지도 구분 못하고 말또리 잡기 정치인들 국민들은 좋아 하지 않는다."
531,cttu****,2022.10.08. 17:45,깨어있는 지도자가 있군요
532,jsmi****,2022.10.08. 17:45,신당 창당 명분쌓기 하는 유승민... 속이 다 보인다.
533,ghaz****,2022.10.08. 17:45,한때는 대선후보감까지 올랐었는데 최근 언행은 거의 소인배 수준으로 떨어진 것 같아 안타깝다. 예전처럼 정도를 찾아 용맹정진했으면 좋겠다.
534,wank****,2022.10.08. 17:45,차라리 민주당으로 가라.촉새같은 배신자!
535,jmjm****,2022.10.08. 17:44,이인간 정치판에서 하는짓 보면 이재명과 판박이 똑똑하면 뭐하냐 권력탐욕에 자기 자신을 시쿵창에 밀는 사람이 유승민 있다
